big_ups_rpt.txt

This report shows that Mean-Reversion is comparatively weak
when stocks move sharply up.



dan@ub97hp_scikit ~/hr $ ./psql.bash -f big_ups_rpt.sql 
--
-- big_ups_rpt.sql
--
-- I use this script to study Mean-Reversion in the Stock Market.
-- Now I am ready to report.
\C 'Next day summary of stocks which upped 2% or more the day before:'
Title is "Next day summary of stocks which upped 2% or more the day before:".
SELECT 
tkr ticker
,COUNT(ydate) event_count
,MIN(ydate)   min_date
,MAX(ydate)   max_date
,ROUND(100*AVG(nlg1),3)    avg_day1_pct_up
,ROUND(100*AVG(ng),3)      avg_day1_pct_gain
FROM td12
WHERE nlg1 > 2.0/ 100.0
AND ydate > '2008-01-01'
AND ng IS NOT NULL
GROUP BY tkr ORDER BY AVG(ng)
;
          Next day summary of stocks which upped 2% or more the day before:
 ticker | event_count |  min_date  |  max_date  | avg_day1_pct_up | avg_day1_pct_gain 
 INTC   |         167 | 2008-01-09 | 2014-01-14 |           3.463 |            -0.458
 CL     |          65 | 2008-01-31 | 2014-01-09 |           3.161 |            -0.458
 EFA    |         117 | 2008-01-24 | 2013-09-18 |           3.453 |            -0.457
 WFC    |         246 | 2008-01-10 | 2013-12-18 |           4.822 |            -0.456
 TCO    |         243 | 2008-01-07 | 2014-01-10 |           4.357 |            -0.450
 FLIR   |         184 | 2008-01-16 | 2014-01-15 |           3.827 |            -0.441
 MCY    |         125 | 2008-01-23 | 2013-11-21 |           3.706 |            -0.433
 SUI    |         226 | 2008-01-16 | 2014-01-30 |           4.001 |            -0.429
 KO     |          68 | 2008-01-07 | 2013-12-18 |           3.185 |            -0.428
 LTC    |         196 | 2008-01-09 | 2014-01-15 |           3.745 |            -0.422
 BCO    |         215 | 2008-01-23 | 2014-01-30 |           3.584 |            -0.413
 WABC   |         191 | 2008-01-07 | 2013-12-20 |           3.917 |            -0.412
 TGT    |         157 | 2008-01-10 | 2013-12-18 |           3.678 |            -0.407
 SRCL   |         112 | 2008-01-03 | 2013-06-17 |           3.196 |            -0.398
 BEN    |         255 | 2008-01-10 | 2014-01-14 |           3.733 |            -0.398
